co,no,no2,o3,so2,pm25,pm10,nh3,aqi
138.1,34.62,5.09,27.69,14.13,3.84,7.66,23.2,16.02
235.13,0.82,26.89,60.87,2.03,17.48,26.56,3.42,61.54
8490.8,2.51,19.0,171.07,2.2,8.82,19.15,1.61,36.75
102.61,5.89,54.75,6.43,3.68,171.06,346.08,5.18,220.58
265.61,14.48,12.75,160.98,42.94,90.91,218.05,26.39,168.65
225.6,0.37,15.48,26.9,23.44,16.64,27.7,3.28,59.74
278.45,7.18,17.3,71.66,17.94,314.96,600.0,20.39,351.67
245.46,16.32,21.96,83.84,4.33,88.39,202.59,5.68,167.33
613.3,19.98,13.56,115.77,7.65,23.93,38.94,42.79,75.39
31.02,3.68,11.53,18.5,2.35,2.72,5.16,69.79,11.33
1911.72,5.47,3.16,27.65,62.62,327.32,546.68,20.73,361.58
1041.98,3.99,11.41,31.73,170.15,8.25,14.48,1.42,34.38
62.53,4.99,41.07,24.88,23.76,6.39,11.27,0.67,26.62
13.42,2.63,47.0,95.11,29.32,92.07,189.32,7.86,169.27
93.17,3.04,12.54,31.14,10.07,379.84,600.0,18.3,403.68
280.34,11.41,73.66,9.07,1.74,132.19,323.58,12.19,190.41
19349.81,8.43,19.52,19.96,4.42,58.2,94.66,3.58,151.42
911.31,12.08,5.27,9.37,6.97,60.02,148.48,1.67,152.38
26.81,9.15,3.85,27.59,7.67,77.74,134.55,18.72,161.72
143.38,14.94,67.92,56.72,5.82,70.73,160.77,47.4,158.03
372.48,17.78,13.83,19.62,12.9,43.87,80.67,3.78,121.03
590.24,1.29,5.97,23.99,4.39,36.75,60.39,16.86,103.15
56.14,3.14,2.1,26.58,164.23,31.11,73.34,99.78,90.79
329.48,5.86,13.52,37.06,2.37,15.58,28.18,6.11,57.47
137.49,7.22,30.11,50.04,35.33,25.01,54.0,6.24,77.71
77.04,3.78,10.0,63.17,8.9,6.09,12.59,12.93,25.39
595.5,18.39,7.01,201.22,21.23,30.01,59.18,5.56,88.44
1287.96,53.51,11.6,36.55,22.42,12.32,24.59,28.2,50.48
1424.48,8.9,69.63,59.66,14.71,10.98,24.52,4.93,45.77
954.87,8.04,4.99,9.3,3.13,39.64,62.94,7.16,110.41
191.32,17.28,10.57,24.45,8.18,133.22,288.85,1.75,190.95
1178.3,1.14,67.41,26.67,14.92,82.96,198.75,5.84,164.47
641.35,7.6,32.92,14.68,13.84,6.89,10.73,2.7,28.69
493.2,19.67,24.03,21.57,3.57,12.31,20.2,10.44,50.45
161.17,3.88,10.5,30.39,57.37,84.84,188.06,1.4,165.46
191.46,2.17,20.71,22.12,0.61,12.4,24.02,19.69,50.64
450.71,6.14,11.73,265.46,9.02,26.45,50.35,3.09,80.8
15674.83,6.95,8.5,49.89,4.03,57.4,93.96,44.0,151.0
633.88,2.98,6.82,164.16,15.16,12.57,25.23,29.1,51.02
161.29,60.11,44.0,109.3,41.27,36.8,59.85,12.62,103.26
115.75,4.58,18.91,19.86,2.25,8.72,17.24,1.59,36.35
192.93,2.33,27.51,34.13,205.27,18.15,41.08,3.94,62.98
10571.75,6.73,23.38,23.39,15.52,45.59,80.17,3.02,125.36
221.65,18.32,31.22,29.09,19.26,6.73,13.34,3.42,28.05
1572.32,7.52,15.57,15.16,2.16,51.44,128.2,35.76,140.06
229.55,12.01,12.41,23.26,11.52,32.47,71.0,6.34,93.72
596.92,3.09,8.89,44.15,39.1,57.54,134.72,3.83,151.08
1322.95,32.71,4.88,43.23,15.67,41.43,79.32,3.5,114.89
171.08,12.96,6.54,40.56,14.41,129.56,293.82,4.34,189.02
154.21,21.07,13.94,31.57,11.45,37.53,57.82,12.59,105.11
4857.62,10.65,4.04,65.93,2.33,21.55,34.98,1.45,70.29
1766.74,16.86,5.04,26.96,2.32,37.42,63.73,8.15,104.83
1320.82,3.09,56.95,100.81,49.56,57.01,108.44,11.29,150.8
1314.11,4.52,25.13,7.55,35.12,34.77,81.57,1.3,98.66
803.81,28.4,12.78,56.01,41.94,34.49,63.67,1.79,98.04
8322.05,35.15,194.72,48.94,4.54,16.41,35.36,7.04,59.25
430.89,2.35,3.86,19.3,10.08,17.07,37.7,31.22,60.66
959.0,9.49,53.28,24.92,53.42,8.14,16.99,24.6,33.94
45.77,4.8,17.97,48.03,2.79,190.49,353.78,4.02,240.03
117.05,3.68,44.04,68.91,47.27,9.55,19.83,30.24,39.78
66.6,9.82,22.4,8.17,6.03,16.56,30.51,5.37,59.57
2727.38,23.13,3.09,54.74,4.37,16.14,25.57,5.32,58.68
8.77,11.61,22.1,22.96,11.72,81.04,202.01,8.12,163.46
220.64,5.37,28.09,81.47,3.19,24.66,40.12,17.11,76.95
4.52,12.36,2.24,7.6,1.25,115.32,181.33,4.02,181.52
115.94,5.16,140.34,234.21,13.35,16.89,40.16,4.96,60.27
193.17,11.16,27.42,16.3,23.13,43.77,78.87,2.12,120.78
3220.55,29.86,39.33,103.96,52.37,14.36,30.88,10.5,54.86
731.39,0.93,6.26,31.33,25.24,282.92,517.45,18.79,325.98
115.62,16.4,40.07,17.2,128.83,10.1,19.1,19.98,42.08
1996.09,1.59,59.71,40.94,62.38,45.14,79.55,1.88,124.23
414.37,25.24,25.88,75.44,29.54,62.41,115.03,5.04,153.64
426.81,3.91,19.9,9.56,21.38,50.09,95.7,25.67,136.66
66.42,2.19,8.22,58.05,53.31,27.51,61.09,9.32,83.08
91.38,14.81,16.18,32.79,0.86,29.08,58.5,7.65,86.45
117.02,10.64,12.04,52.54,6.85,34.6,84.54,7.47,98.28
432.55,2.72,35.59,33.41,1.31,28.59,44.08,12.7,85.38
453.42,2.11,8.59,20.96,27.0,86.82,173.91,9.83,166.5
4089.34,6.13,35.33,13.59,5.0,302.03,600.0,4.16,341.31
718.8,2.22,8.68,56.72,456.5,18.96,45.9,17.83,64.73
6.95,2.56,15.45,56.48,6.54,8.42,13.04,2.22,35.07
598.22,8.29,37.19,56.25,13.84,30.32,62.86,27.72,89.09
45.83,2.81,9.94,46.62,7.52,436.9,600.0,3.02,449.42
94.73,11.32,38.5,70.51,6.78,14.83,25.82,12.78,55.85
119.31,32.79,34.92,101.99,2.73,170.57,405.31,6.27,220.09
149.16,6.37,15.32,7.38,2.62,177.27,269.29,4.59,226.8
51.28,8.42,64.19,5.09,0.89,19.04,42.5,28.72,64.89
547.42,55.6,21.71,130.89,23.44,58.5,142.33,15.53,151.58
48.61,2.25,60.48,11.33,7.32,168.75,364.02,6.97,218.26
688.83,24.32,120.72,13.89,124.01,22.67,43.95,42.32,72.67
11561.74,21.56,15.78,26.31,2.74,27.02,41.74,19.68,82.01
54.92,17.36,38.28,8.82,71.63,18.51,44.8,3.3,63.76
263.28,26.89,10.62,24.4,80.38,12.0,23.65,0.77,49.79
9.16,9.78,7.15,15.51,56.4,17.3,26.45,8.22,61.16
256.88,4.13,16.52,27.48,16.15,9.74,21.32,29.47,40.58
1057.94,22.08,5.14,41.42,8.12,34.26,67.9,13.61,97.56
1189.11,22.94,7.86,25.16,56.33,15.33,24.91,35.66,56.94
453.07,22.32,36.29,24.16,4.71,41.84,71.72,4.06,115.92
1531.33,7.73,12.02,40.71,16.86,6.99,10.93,6.57,29.11
18381.17,3.61,40.87,76.36,11.56,46.1,95.63,6.73,126.64
5263.0,8.95,27.1,119.39,4.18,76.21,161.73,9.4,160.91
184.24,18.96,127.89,27.8,17.01,4.51,9.05,15.92,18.79
45.76,20.58,33.93,142.58,29.67,48.14,111.54,37.8,131.75
219.37,4.81,61.2,66.78,3.99,113.03,266.87,46.65,180.31
97.47,10.13,30.02,12.36,21.16,9.88,20.9,39.12,41.16
793.95,2.0,27.42,12.07,0.84,176.37,266.8,14.43,225.89
68.59,19.79,64.38,20.87,3.46,50.35,110.53,5.25,137.31
361.68,3.38,39.2,105.18,7.04,16.36,31.38,9.26,59.15
1418.03,16.2,24.78,22.17,18.71,31.32,64.69,14.23,91.24
346.87,2.34,24.67,7.29,34.58,57.88,124.38,8.46,151.25
97.57,20.73,34.41,27.57,13.46,35.73,66.11,2.96,100.58
2350.12,10.19,10.26,6.79,24.04,56.76,137.18,4.65,150.66
24.08,3.38,9.84,14.24,10.05,13.19,21.55,17.6,52.34
246.73,14.75,83.55,20.71,19.8,39.23,85.18,5.77,109.36
378.99,4.09,129.59,37.33,18.58,8.05,12.12,7.57,33.56
413.17,15.64,7.93,75.14,6.61,29.63,71.84,6.83,87.62
528.87,5.62,10.29,57.7,7.95,13.41,21.63,3.03,52.81
1007.94,1.32,62.96,12.89,25.03,15.87,25.31,6.23,58.09
382.56,2.77,34.24,24.6,107.18,113.99,208.94,4.67,180.82
232.27,4.8,39.51,35.2,51.84,98.62,184.78,3.7,172.72
218.9,29.03,49.23,26.85,3.14,60.89,104.39,2.56,152.84
161.21,18.19,15.79,26.7,3.16,11.11,23.16,6.68,46.28
1314.64,37.48,27.94,8.35,6.41,24.13,46.89,13.71,75.82
152.96,38.61,25.85,13.17,13.72,111.4,170.9,22.66,179.45
1436.78,4.33,8.51,23.99,12.91,38.16,69.43,1.83,106.68
415.09,6.12,27.52,2.79,53.97,336.75,600.0,36.83,369.14
184.59,4.9,69.25,55.29,57.64,49.07,107.46,9.9,134.1
1020.05,3.78,14.38,11.04,12.27,40.13,89.28,2.39,111.63
135.48,1.17,23.4,57.37,9.27,24.31,53.44,4.93,76.2
1050.77,7.28,24.7,53.47,22.65,37.85,68.54,1.13,105.9
555.07,2.04,15.11,21.44,43.63,28.43,45.48,1.46,85.05
164.93,7.14,39.52,73.73,23.64,67.23,119.16,41.32,156.18
891.54,61.3,10.18,60.01,7.26,86.2,201.01,3.67,166.18
915.88,4.44,76.15,25.86,5.84,15.09,37.43,12.64,56.42
2289.94,8.98,37.57,23.63,3.21,8.75,17.44,6.61,36.45
1718.52,18.3,7.87,79.66,15.37,5.28,7.97,7.52,22.0
842.95,9.78,109.73,39.87,25.73,55.04,90.26,10.68,149.09
74.34,9.9,23.76,76.38,29.42,10.99,20.02,0.92,45.78
15881.03,5.14,9.75,4.9,48.53,3.85,7.99,27.62,16.03
49.14,5.86,60.62,35.83,71.98,48.84,76.93,6.69,133.52
1675.55,2.83,32.94,9.38,2.34,400.61,600.0,4.46,420.33
770.41,17.22,3.41,32.44,19.8,32.92,61.39,11.8,94.67
69.32,1.29,11.87,58.62,20.64,76.59,184.78,3.59,161.11
334.81,19.51,26.55,133.13,11.15,35.94,81.96,9.1,101.1
358.48,1.82,2.32,15.63,4.51,30.0,67.66,6.26,88.41
2859.42,19.35,21.87,21.75,68.96,83.02,174.9,15.04,164.5
138.38,5.19,23.52,30.68,6.01,24.77,52.69,5.97,77.19
272.35,2.16,6.15,15.19,0.88,43.27,92.51,2.64,119.52
12.13,13.19,26.33,72.45,12.48,45.68,97.24,10.62,125.58
5443.32,18.7,20.24,31.31,9.16,16.98,34.87,5.64,60.47
80.99,4.77,6.1,36.51,113.21,89.3,222.05,1.2,167.81
658.76,15.19,50.38,54.39,21.93,27.8,62.06,9.0,83.69
346.5,0.75,46.43,31.27,8.45,15.55,35.41,4.32,57.41
348.28,1.97,15.03,17.22,9.62,56.63,134.35,10.44,150.59
1359.39,26.91,16.47,31.49,9.49,13.48,23.13,3.14,52.97
4948.77,5.91,41.52,16.69,174.26,34.06,53.95,2.21,97.13
588.3,1.15,16.43,36.1,27.4,32.81,65.07,24.05,94.45
1077.74,3.67,2.91,73.52,2.25,98.09,197.56,17.17,172.44
660.72,2.93,32.69,12.94,9.09,53.23,123.99,7.34,144.56
1856.22,6.26,8.91,9.72,11.84,32.3,62.78,11.45,93.34
201.47,5.1,13.6,34.45,3.22,75.02,155.36,16.62,160.28
2024.52,8.84,86.3,17.92,1.43,132.98,269.56,7.31,190.82
2133.99,6.89,17.57,33.97,24.9,57.85,88.98,2.21,151.24
2046.33,28.78,20.12,42.79,4.64,33.46,70.78,9.97,95.84
149.87,11.3,33.44,5.96,54.52,8.92,20.76,20.13,37.16
313.4,11.68,33.29,57.51,12.3,11.41,18.92,13.37,47.56
577.78,23.69,8.01,12.99,6.9,24.4,51.11,7.84,76.4
51.61,5.01,18.91,32.53,0.67,18.0,37.69,13.0,62.67
4413.31,2.09,20.82,19.54,52.81,27.47,45.71,5.91,82.98
396.07,24.7,26.36,21.29,17.33,35.05,56.9,20.99,99.24
617.63,8.46,26.82,128.4,7.11,56.24,139.49,28.42,150.39
169.78,8.49,267.05,42.75,4.19,30.86,58.44,2.02,90.26
55.13,3.92,6.2,68.29,83.01,53.87,93.05,22.55,146.15
163.03,3.99,53.52,37.37,3.4,35.32,59.03,69.22,99.83
560.49,17.23,65.59,54.38,7.83,4.59,9.96,12.5,19.14
1107.81,19.78,32.88,46.24,24.14,12.94,27.31,19.76,51.81
514.24,16.18,10.48,40.59,69.47,28.67,61.46,3.87,85.56
678.64,16.33,106.13,80.3,9.4,9.88,15.69,4.47,41.16
243.34,13.05,2.24,37.53,5.04,60.34,144.42,5.99,152.55
849.27,8.43,10.14,206.05,10.72,153.05,289.15,4.94,202.55
3730.32,6.2,64.82,71.41,36.07,112.03,203.15,1.99,179.78
1161.17,24.79,13.87,13.31,47.24,26.75,52.49,6.22,81.44
1358.74,5.08,99.13,28.75,2.34,147.04,277.92,17.05,198.23
627.05,10.7,4.43,45.5,13.98,38.42,90.82,2.02,107.35
42.32,3.31,6.61,34.32,2.18,23.64,57.43,8.84,74.76
84.18,3.82,11.8,57.37,35.2,17.93,32.34,8.57,62.52
798.16,5.83,30.49,62.65,20.22,24.47,57.85,5.47,76.55
396.86,3.31,16.09,11.16,4.03,22.46,51.25,12.14,72.24
780.37,16.41,12.3,92.28,76.78,39.27,95.45,11.05,109.47
4987.23,1.92,83.13,22.25,18.21,38.88,67.88,5.09,108.5
1198.77,8.16,91.24,20.56,15.96,33.22,68.99,21.35,95.31
2665.99,8.44,13.27,20.51,9.83,51.26,90.97,12.94,139.6
464.99,1.21,3.63,63.24,12.07,108.92,253.15,35.64,178.15
120.2,4.75,2.32,26.74,7.71,85.59,128.84,6.91,165.85
369.89,9.54,25.52,19.48,5.01,7.5,15.49,5.36,31.26
120.65,11.34,38.7,23.59,53.25,2.58,4.74,6.0,10.73
4177.39,6.02,21.39,7.88,6.74,84.29,153.64,24.01,165.17
1320.26,14.54,18.71,16.88,6.48,8.44,18.11,6.37,35.17
880.75,6.62,8.98,12.28,10.43,26.45,62.2,6.77,80.79
2575.8,7.49,38.67,26.7,67.32,10.28,21.68,52.51,42.82
19.49,9.5,107.57,56.34,47.34,5.46,12.86,1.93,22.76
974.78,18.67,2.19,51.58,7.59,56.91,100.42,10.56,150.74
56.49,3.76,18.59,90.5,53.1,70.75,142.88,6.95,158.03
399.06,4.54,7.61,75.73,13.87,18.61,36.29,5.75,63.96
252.76,3.79,4.52,21.7,4.43,2.48,3.75,2.85,10.34
1088.55,5.3,6.49,33.62,6.88,19.18,39.45,3.8,65.19
568.09,30.76,29.36,32.26,63.3,49.0,105.91,4.91,133.92
3034.12,13.1,30.11,5.92,148.33,7.55,15.79,12.13,31.44
163.56,2.38,86.51,12.51,17.88,39.78,88.96,17.33,110.75
1168.73,4.05,20.26,28.97,6.17,32.61,67.55,1.25,94.02
514.57,10.73,3.46,28.84,10.49,59.1,92.6,2.22,151.9
34.71,2.98,15.83,49.89,4.88,37.32,60.33,12.78,104.58
101.7,3.58,5.02,47.99,5.81,12.52,26.24,13.91,50.89
322.2,28.36,6.01,8.03,5.17,109.57,194.49,1.71,178.49
2139.74,4.0,35.89,50.14,11.08,28.26,44.64,17.71,84.68
808.83,19.2,24.39,38.2,14.08,32.22,62.18,7.29,93.18
70.02,25.93,36.15,54.53,10.2,13.02,26.75,15.6,51.98
326.86,3.55,14.05,77.75,9.34,21.26,38.87,3.15,69.65
8322.43,3.03,44.28,29.54,30.34,13.67,30.35,1.84,53.37
476.68,5.61,13.28,89.7,9.25,27.86,59.72,5.43,83.81
246.91,2.49,61.36,16.26,9.99,183.41,336.15,5.67,232.94
843.54,8.34,28.35,15.54,9.86,8.4,18.94,5.36,35.0
1267.86,6.02,16.33,46.67,77.63,6.6,14.17,5.0,27.48
203.52,10.6,24.83,24.66,6.76,144.2,308.21,40.16,196.73
857.36,29.87,19.73,40.83,24.92,26.86,55.16,1.35,81.68
246.33,16.73,99.1,163.1,4.96,16.96,25.63,3.17,60.43
1186.77,12.05,25.67,45.37,18.54,93.68,205.77,4.86,170.12
520.37,1.03,20.05,39.24,23.46,18.07,33.9,7.57,62.82
831.27,11.51,15.82,16.52,44.75,205.62,502.24,15.04,255.17
129.18,41.37,46.67,8.5,7.68,65.23,151.2,17.56,155.13
117.69,0.36,40.77,31.25,3.2,20.33,42.44,21.68,67.66
1666.11,14.72,15.27,77.75,4.76,286.38,501.78,11.96,328.76
358.13,6.3,6.32,25.58,38.76,18.07,30.79,1.31,62.81
618.66,3.16,8.15,45.66,148.13,69.55,128.01,1.4,157.4
254.78,16.46,16.71,103.67,33.16,44.67,88.29,23.27,123.04
1553.23,40.84,77.4,101.62,2.68,121.72,218.62,21.82,184.89
162.11,16.04,15.64,46.67,31.84,157.83,318.01,13.96,207.34
329.18,5.1,11.09,37.94,3.93,34.19,56.94,3.25,97.41
1311.58,2.88,3.45,9.83,8.01,15.59,38.63,5.35,57.49
2343.62,8.54,91.24,20.0,15.25,52.46,84.35,4.96,142.6
183.89,17.69,35.48,26.45,18.66,16.82,40.89,2.65,60.12
7627.58,5.02,44.52,16.75,13.18,247.99,598.54,9.57,297.59
645.4,5.53,52.55,40.4,5.92,37.96,76.88,63.78,106.18
84.4,124.21,17.03,152.83,43.46,22.98,51.13,4.5,73.35
701.75,21.73,21.86,111.52,6.47,39.83,77.12,27.03,110.89
227.13,23.34,89.0,40.25,54.89,8.61,18.34,3.05,35.87
773.64,1.72,24.04,61.78,2.38,12.53,23.07,1.59,50.93
378.31,3.64,36.14,18.49,15.78,109.99,198.11,19.84,178.71
450.97,7.96,47.97,106.83,2.8,17.17,35.68,5.94,60.88
102.78,2.72,38.2,9.49,4.48,11.62,23.23,26.34,48.43
1781.29,36.61,17.67,68.74,6.58,56.64,117.78,32.17,150.6
71.22,30.27,19.42,49.23,75.54,108.39,193.65,5.59,177.86
76.47,4.33,43.71,18.09,58.54,67.96,126.88,28.3,156.57
699.97,43.99,43.64,28.02,34.78,89.66,142.02,3.08,168.0
4466.08,7.36,64.6,13.36,12.68,15.54,24.12,3.03,57.37
237.72,98.43,34.85,13.83,15.27,7.99,14.01,21.59,33.29
1154.54,8.54,36.47,9.27,55.69,148.61,233.95,1.57,199.06
2018.3,13.15,12.86,61.19,28.26,23.98,38.46,7.38,75.5
1369.26,29.96,11.23,86.86,12.45,25.77,59.6,25.78,79.33
252.95,26.51,43.84,5.87,72.53,124.99,192.34,27.57,186.61
78.53,12.31,11.31,144.12,32.38,57.76,124.69,4.79,151.19
14.71,6.42,19.67,32.8,16.3,52.24,92.6,20.27,142.07
271.98,12.36,79.76,41.76,7.02,288.59,600.0,2.4,330.53
2361.69,3.27,68.07,10.2,6.3,17.4,34.54,3.79,61.37
74.72,8.6,27.16,95.26,8.14,83.75,151.22,9.3,164.88
1153.22,2.44,14.94,38.87,21.08,35.06,70.74,10.78,99.27
97.01,1.24,17.75,82.36,33.21,43.32,81.52,2.59,119.65
473.01,7.77,47.83,87.94,2.15,152.7,315.22,47.57,202.2
1166.41,26.11,19.37,96.34,1.18,55.03,88.84,1.13,149.06
150.02,18.65,11.49,19.71,3.89,56.73,141.65,7.8,150.65
520.99,6.81,67.75,28.04,7.47,96.79,186.37,8.99,171.75
216.45,42.39,24.09,20.3,51.17,22.99,42.49,1.29,73.37
1161.8,4.18,11.28,67.77,8.7,14.31,31.62,27.77,54.74
574.2,1.09,32.43,43.22,16.54,11.65,21.71,3.52,48.54
439.12,0.83,53.05,77.89,20.12,4.64,10.81,8.15,19.31
4177.74,2.27,7.33,80.66,3.57,258.84,505.84,10.26,306.68
1089.48,16.72,16.44,8.32,70.24,10.99,24.39,1.73,45.78
143.23,3.92,15.69,97.57,5.49,26.54,42.67,2.53,80.99
354.68,11.72,31.57,70.86,79.18,25.11,58.91,35.27,77.91
360.02,38.33,37.79,24.65,10.47,45.03,100.68,6.92,123.95
455.08,2.46,11.57,43.81,8.13,74.87,128.15,0.5,160.2
17796.62,11.92,4.51,30.0,3.21,78.29,128.82,5.46,162.01
703.65,12.67,56.36,54.21,15.44,18.48,33.57,7.15,63.7
19.03,3.12,6.55,24.6,182.23,28.02,69.38,9.2,84.16
178.72,28.62,26.34,48.58,20.01,43.93,77.18,1.0,121.18
22.23,5.54,17.6,34.95,16.85,25.82,50.52,7.18,79.45
245.99,5.03,23.63,23.44,5.47,165.23,252.81,3.21,214.75
20.47,61.05,104.71,38.56,24.79,54.11,102.65,9.22,146.75
109.14,12.46,400.0,288.64,14.72,69.05,143.03,12.26,157.14
41.22,18.64,3.92,19.14,11.3,64.26,157.63,11.02,154.61
717.84,28.64,53.73,27.11,22.06,107.07,215.93,30.08,177.17
403.76,3.86,17.18,19.4,1.38,39.69,92.04,66.06,110.52
635.52,25.79,57.27,21.1,10.8,9.05,18.53,2.38,37.72
344.87,4.47,52.31,63.6,2.9,49.39,76.09,5.04,134.89
49.83,4.29,82.25,58.72,12.61,17.26,31.33,15.53,61.08
871.56,5.63,26.71,32.96,5.11,19.52,40.51,6.51,65.92
7210.81,3.97,8.25,75.27,5.55,59.52,145.87,0.49,152.12
745.32,16.81,50.79,62.47,2.46,114.24,269.5,6.09,180.95
212.96,9.65,22.6,29.08,46.47,33.83,58.47,25.38,96.63
47.37,4.52,15.9,9.71,5.4,45.1,77.57,1.83,124.12
103.33,14.51,12.48,64.32,5.76,181.67,309.06,9.21,231.21
795.97,5.61,54.95,37.93,76.46,42.13,102.06,1.1,116.66
2017.63,5.32,99.82,33.71,24.08,446.61,600.0,17.64,457.2
596.63,7.76,6.08,22.81,1.06,58.29,132.61,9.41,151.47
1339.2,11.75,37.41,60.08,64.23,5.69,10.78,4.19,23.72
1166.21,10.91,13.84,43.76,88.01,70.34,140.99,4.86,157.82
862.47,5.14,4.63,27.4,78.67,48.48,95.23,1.65,132.61
150.25,17.24,23.28,12.42,27.16,120.27,210.88,20.24,184.13
523.68,5.92,8.73,77.82,3.25,64.92,130.17,3.32,154.96
113.01,3.84,4.15,53.73,11.48,28.83,44.13,12.19,85.91
414.11,1.7,9.19,40.62,2.14,9.73,15.89,2.82,40.56
662.68,19.75,7.19,3.95,4.31,26.87,64.13,66.58,81.69
5004.92,7.48,10.52,32.13,3.21,14.15,31.85,35.15,54.39
56.57,9.12,5.33,27.3,5.74,18.53,35.63,58.78,63.8
830.69,21.03,13.53,20.19,14.83,59.66,120.33,66.06,152.19
3721.4,4.58,9.84,60.55,7.14,175.9,328.93,3.92,225.42
1259.25,1.87,29.24,58.67,6.78,49.14,110.11,3.05,134.27
1407.29,7.92,36.36,46.97,8.59,10.02,22.88,56.04,41.73
974.13,10.05,26.05,75.97,73.65,51.66,116.91,6.42,140.59
2828.5,5.68,15.87,14.62,163.45,109.58,243.55,17.0,178.49
78.95,32.26,15.45,23.04,7.09,18.0,30.68,3.97,62.65
50.46,0.61,8.7,35.16,18.23,28.96,53.23,4.04,86.18
399.61,22.65,8.91,20.13,4.44,33.61,66.2,16.94,96.15
15.77,16.3,40.59,59.25,30.61,15.11,27.66,1.03,56.45
2555.41,11.67,3.46,21.81,6.88,63.33,142.79,16.17,154.12
2517.63,0.26,18.53,93.57,5.19,29.34,53.68,12.48,87.0
210.6,26.68,14.53,15.72,134.55,50.38,82.53,4.35,137.38
231.33,2.65,36.57,182.29,2.39,13.63,25.89,7.57,53.29
361.94,4.45,4.83,167.91,0.64,21.38,53.03,8.85,69.92
436.17,6.23,20.34,30.7,29.42,68.2,117.7,9.37,156.69
488.22,11.11,28.3,82.84,7.84,22.81,48.18,14.73,72.98
932.01,14.01,2.99,24.04,5.61,186.23,359.97,3.27,235.76
311.39,18.04,6.86,74.49,323.11,22.21,34.89,109.7,71.69
1660.36,16.71,18.32,28.77,29.26,41.46,82.41,6.02,114.97
787.55,9.52,33.59,11.84,11.36,84.15,185.31,6.48,165.09
162.32,11.2,24.11,1.96,5.21,8.02,16.14,51.66,33.41
2988.92,2.48,35.18,26.71,20.8,5.69,13.5,1.19,23.72
52.59,3.49,6.83,41.4,1.52,7.2,12.88,51.12,30.01
351.34,18.09,4.1,95.99,6.56,117.05,185.67,8.11,182.43
1720.51,17.07,21.86,34.1,11.65,19.07,46.47,4.35,64.96
136.37,15.24,5.87,73.87,15.74,427.6,600.0,2.41,441.97
641.84,4.42,8.45,23.03,10.27,18.84,39.11,2.08,64.45
911.43,18.37,51.02,25.28,5.3,39.83,91.28,5.25,110.87
110.96,2.31,24.27,76.96,36.77,154.8,282.4,9.76,204.3
361.87,21.7,11.38,4.61,1.68,246.19,545.59,13.77,295.78
319.02,5.69,9.99,33.46,8.73,260.21,425.56,9.64,307.79
176.34,39.81,37.37,24.05,6.54,110.87,198.6,4.44,179.17
12740.13,1.61,24.83,98.35,41.03,92.21,151.66,28.21,169.34
128.42,43.09,5.96,21.7,7.02,59.89,138.42,107.1,152.31
1821.46,5.15,2.86,50.06,20.6,72.12,124.24,32.94,158.76
223.81,5.06,131.87,69.21,18.17,19.08,42.32,5.16,64.99
79.05,8.98,5.92,10.03,1.35,14.61,35.7,12.21,55.39
470.7,3.68,34.05,29.62,11.26,33.0,66.92,13.02,94.86
1068.1,6.87,90.98,23.45,1.5,27.93,56.98,36.73,83.98
1604.82,3.53,23.28,70.6,18.57,21.05,41.27,5.27,69.2
4202.34,3.67,11.02,56.83,5.07,66.45,121.32,2.82,155.77
33452.09,12.02,4.83,27.48,50.6,86.08,170.07,22.96,166.11
587.44,3.0,4.76,14.33,9.81,36.18,76.07,11.09,101.7
149.21,3.43,29.27,75.98,4.84,145.12,360.76,2.44,197.22
795.77,1.87,85.71,31.37,51.41,10.57,25.77,14.96,44.05
270.61,4.46,13.53,9.07,4.28,27.29,64.45,46.44,82.59
1618.01,27.43,11.52,9.72,35.65,16.17,38.63,3.69,58.73
57.64,3.17,40.35,47.0,21.35,5.12,10.08,3.03,21.34
14079.88,3.56,10.12,11.93,7.86,30.49,65.78,7.61,89.46
1456.91,8.97,26.43,146.6,2.45,29.32,70.22,14.59,86.95
32.27,5.1,20.94,15.65,54.05,150.42,284.74,6.86,199.92
139.28,68.59,13.34,33.11,22.21,62.23,153.19,22.98,153.55
1372.13,6.28,19.78,37.61,4.82,11.89,22.78,9.59,49.55
2355.52,10.33,117.11,18.48,16.34,211.47,444.32,20.32,261.03
59.84,18.99,36.76,5.52,40.75,112.28,248.13,3.59,179.92
1175.61,18.63,59.89,38.58,13.94,59.27,145.25,2.16,151.99
21.74,9.33,8.01,18.13,16.22,26.4,46.06,5.26,80.7
352.83,6.29,60.1,36.35,42.03,12.69,28.5,1.92,51.26
2138.95,55.93,38.05,30.03,77.07,22.82,46.12,11.13,73.01
176.4,6.69,4.48,40.88,10.55,98.37,173.98,0.98,172.59
42.08,4.75,34.46,115.53,2.45,218.02,496.35,4.7,267.59
502.36,3.87,12.02,21.39,2.55,154.97,318.04,5.55,204.48
162.87,1.31,4.28,22.76,5.32,20.31,43.89,2.59,67.62
1037.26,16.8,22.87,8.74,3.97,10.81,19.7,5.44,45.04
106.91,0.71,34.43,28.33,1.62,38.13,75.54,7.42,106.6
126.6,7.35,23.37,45.97,111.88,5.65,11.96,26.29,23.54
19.46,6.02,18.01,22.49,22.96,45.75,87.15,2.61,125.75
520.57,69.41,14.43,46.21,6.5,28.57,48.52,10.56,85.35
316.92,1.18,236.65,28.73,11.72,20.78,51.15,12.88,68.63
67.86,3.0,6.16,11.68,1.43,6.72,13.52,7.23,28.01
